location_name,street,city,state,zip_code,phone,longitude,latitude,state_name,brand,updated
Cinemark Century Anchorage 16 and XD,301 East 36th Ave,Anchorage,AK,99503,907-770-2602,-149.879106,61.188202,Alaska,Cinemark,2024-03-31
Cinemark Bridge Street and XD,370 The Bridge St,Huntsville,AL,35806,256-327-8340,-86.673594,34.719585,Alabama,Cinemark,2024-03-31
Cinemark Tinseltown USA Benton,17314 I-30,Benton,AR,72019,501-776-2282,-92.636339,34.54269,Arkansas,Cinemark,2024-03-31
Cinemark Towne Centre and XD,201 Skyline Dr,Conway,AR,72032,501-450-7558,-92.429867,35.112336,Arkansas,Cinemark,2024-03-31
Cinemark Colonel Glenn and XD,18 Colonel Glenn Plaza Dr,Little Rock,AR,72210,501-687-0499,-92.405577,34.708475,Arkansas,Cinemark,2024-03-31
Cinemark Mesa 16,1051 N Dobson Rd,Mesa,AZ,85201,480-733-2843,-111.871039,33.433267,Arizona,Cinemark,2024-03-31
Cinemark Century Oro Valley Marketplace,12155 N Oracle Rd,Oro Valley,AZ,85737,520-742-6512,-110.936615,32.425217,Arizona,Cinemark,2024-03-31
Cinemark Sierra Vista 10,2175 El Mercado Loop,Sierra Vista,AZ,85635,520-458-1936,-110.258315,31.531081,Arizona,Cinemark,2024-03-31
Cinemark Century El Con 20 and XD,3601 E Broadway Blvd,Tucson,AZ,85716,520-202-3358,-110.915723,32.221829,Arizona,Cinemark,2024-03-31
Cinemark Century Park Place 20 and XD,5870 E Broadway Blvd,Tucson,AZ,85711,520-745-2321,-110.866918,32.221374,Arizona,Cinemark,2024-03-31
Cinemark Century Tucson Marketplace and XD,1300 E Tucson Marketplace Blvd,Tucson,AZ,85713,520-622-8443,-110.951901,32.187109,Arizona,Cinemark,2024-03-31
Cinemark Jess Ranch,18935 Bear Valley Rd,Apple Valley,CA,92308,760-247-5871,-117.250264,34.470827,California,Cinemark,2024-03-31
Cinemark Carson and XD,20700 S Avalon Blvd,Carson,CA,90746,310-323-0394,-118.2602968,33.8442351,California,Cinemark,2024-03-31
Cinemark Tinseltown Chico 14 and XD,801 East Ave,Chico,CA,95926,530-879-0143,-121.846493,39.760811,California,Cinemark,2024-03-31
Cinemark Chino Movies 8,5546 Philadelphia St,Chino,CA,91710,909-464-1203,-117.684217,34.033677,California,Cinemark,2024-03-31
Cinemark Century Daly City 20 XD and IMAX,1901 Junipero Serra Blvd,Daly City,CA,94015,650-994-2488,-122.470596,37.70349,California,Cinemark,2024-03-31
Cinemark Downey and XD,8840 Apollo Way,Downey,CA,90242,562-803-3014,-118.1318947,33.9224224,California,Cinemark,2024-03-31
Cinemark Imperial Valley Mall 14,3651 S Dogwood Rd,El Centro,CA,92243,760-482-9200,-115.535429,32.791259,California,Cinemark,2024-03-31
Cinemark Century Laguna 16 and XD,9349 Big Horn Blvd,Elk Grove,CA,95758,916-683-5282,-121.406232,38.418594,California,Cinemark,2024-03-31
Cinemark Century Folsom 14,261 Iron Point Rd,Folsom,CA,95630,916-353-5247,-121.188925,38.642202,California,Cinemark,2024-03-31
Cinemark Lake Forest Foothill Ranch,26602 Towne Centre Dr. ,Foothill Ranch,CA,92610,949-588-9402,-117.6716352,33.6766525,California,Cinemark,2024-03-31
Cinemark Century at Pacific Commons and XD,43917 Pacific Commons Blvd,Fremont,CA,94538,510-651-2859,-121.98257,37.506344,California,Cinemark,2024-03-31
Cinemark Hanford Movies 8,1669 W. Lacey,Hanford,CA,93230,559-582-1474,-119.671009,36.328063,California,Cinemark,2024-03-31
Cinemark Century at Hayward,1069 B St,Hayward,CA,94541,510-582-1190,-122.081395,37.67354,California,Cinemark,2024-03-31
Cinemark Century Southland Mall,256 Southland Mall Dr,Hayward,CA,94545,510-784-3040,-122.1037548,37.650561,California,Cinemark,2024-03-31
Cinemark Century Huntington Beach and XD,7777 Edinger Ave,Huntington Beach,CA,92647,714-373-4573,-117.994441,33.731549,California,Cinemark,2024-03-31
Cinemark Century La Quinta and XD,46800 Washington St,La Quinta,CA,92253,760-771-5682,-116.2936256,33.708945,California,Cinemark,2024-03-31
Cinemark Lancaster IMAX and ScreenX,2600 W Ave I,Lancaster,CA,93536,661-940-7086,-118.177672,34.703941,California,Cinemark,2024-03-31
Cinemark At The Pike Outlets and XD,99 South Pine Ave,Long Beach,CA,90802,562-435-5754,-118.1929633,33.7645696,California,Cinemark,2024-03-31
Cinemark Baldwin Hills Crenshaw and XD,4020 Marlton Ave,Los Angeles,CA,90008,323-296-1005,-118.337431,34.011582,California,Cinemark,2024-03-31
Cinemark Howard Hughes Los Angeles and XD,6081 Center Dr,Los Angeles,CA,90045,310-568-3394,-118.391944,33.978047,California,Cinemark,2024-03-31
Cinemark Century Marina and XD,100 10th St,Marina,CA,93933,831-384-1002,-121.8094925,36.6645991,California,Cinemark,2024-03-31
Cinemark Century Great Mall 20 XD and ScreenX,1010 Great Mall Dr,Milpitas,CA,95035,408-942-7441,-121.899395,37.418842,California,Cinemark,2024-03-31
Cinemark Century Monterey 13,1700 Del Monte Center,Monterey,CA,93940,831-373-8051,-121.90069,36.584634,California,Cinemark,2024-03-31
Cinemark Century Mountain View 16,1500 N Shoreline Blvd,Mountain View,CA,94043,650-961-3828,-122.078171,37.415657,California,Cinemark,2024-03-31
Cinemark Century Napa Valley and XD,195 Gasser Dr,Napa,CA,94559,707-251-3780,-122.27868,38.283275,California,Cinemark,2024-03-31
Cinemark Century North Hollywood,12827 Victory Blvd,North Hollywood,CA,91606,818-508-1943,-118.412815,34.186755,California,Cinemark,2024-03-31
Cinemark Century Rowland Plaza,44 Rowland Way,Novato,CA,94945,415-898-3385,-122.557468,38.094731,California,Cinemark,2024-03-31
Cinemark Century Orange and XD,1701 W Katella Ave,Orange,CA,92867,714-532-9558,-117.870432,33.80683,California,Cinemark,2024-03-31
Cinemark Century Riverpark and XD,2766 Seaglass Way,Oxnard,CA,93036,805-988-6083,-119.174194,34.24104,California,Cinemark,2024-03-31
Cinemark Antelope Valley Mall,1475 W Ave P,Palmdale,CA,93551,661-274-4300,-118.154780,34.601849,California,Cinemark,2024-03-31
Cinemark Playa Vista and XD,12746 W Jefferson Blvd,Playa Vista,CA,90094,310-862-5668,-118.4174517,33.9775666,California,Cinemark,2024-03-31
Cinemark Century Downtown Pleasant Hill 16 and XD,125 Crescent Dr,Pleasant Hill,CA,94523,925-288-1371,-122.061774,37.944206,California,Cinemark,2024-03-31
Cinemark Century at the River and XD,71800 Hwy 111,Rancho Mirage,CA,92270,760-836-1940,-116.412092,33.741329,California,Cinemark,2024-03-31
Cinemark Redding 14 and XD,980 Old Alturas Rd,Redding,CA,96003,530-223-7755,-122.347294,40.588303,California,Cinemark,2024-03-31
Cinemark Century Redwood Downtown 20 and XD,825 Middlefield Rd,Redwood City,CA,94063,650-701-1341,-122.228949,37.486145,California,Cinemark,2024-03-31
Cinemark Bistro Renaissance Marketplace and XD,1355 W Renaissance Pkwy,Rialto,CA,92376,909-350-2007,-117.3980476,34.1353711,California,Cinemark,2024-03-31
Cinemark Century Hilltop 16,3200 Klose Way,Richmond,CA,94806,510-758-9626,-122.322305,37.98178,California,Cinemark,2024-03-31
Cinemark Century Blue Oaks Theatres and XD,6692 Lonetree Blvd,Rocklin,CA,95765,916-772-1210,-121.292189,38.797706,California,Cinemark,2024-03-31
Cinemark Roseville Galleria Mall and XD ,1191 Galleria Blvd,Roseville,CA,95678,916-771-2750,-121.2703943,38.7743441,California,Cinemark,2024-03-31
Cinemark Century DOCO and XD,1015 4th St,Sacramento,CA,95814,916-442-9044,-121.501725,38.581651,California,Cinemark,2024-03-31
Cinemark Century Greenback Lane 16 and XD,6233 Garfield Ave,Sacramento,CA,95841,916-332-2622,-121.334093,38.679894,California,Cinemark,2024-03-31
Cinemark Century Arden 14 and XD,1590 Ethan Way,Sacramento,CA,95825,916-922-4241,-121.419937,38.593069,California,Cinemark,2024-03-31
Cinemark Century Northridge Mall 14,350 Northridge Shopping Ctr,Salinas,CA,93906,831-449-4168,-121.655761,36.716739,California,Cinemark,2024-03-31
Cinemark Century at Tanforan and XD,1188 El Camino Real,San Bruno,CA,94066,650-588-6052,-122.417798,37.637907,California,Cinemark,2024-03-31
Cinemark CinéArts Santana Row,3088 Olsen Dr,San Jose,CA,95128,408-554-7010,-121.948645,37.319123,California,Cinemark,2024-03-31
Cinemark Century Oakridge 20 XD and ScreenX,925 Blossom Hill Rd,San Jose,CA,95123,408-225-7340,-121.863312,37.250621,California,Cinemark,2024-03-31
Cinemark Century Bayfair Mall 16,15555 East 14th St,San Leandro,CA,94578,510-276-9684,-122.124991,37.702572,California,Cinemark,2024-03-31
Cinemark Century San Mateo 12,320 East 2nd Ave,San Mateo,CA,94401,650-558-0512,-122.322831,37.56636,California,Cinemark,2024-03-31
Cinemark Century Northgate,7000 Northgate Dr,San Rafael,CA,94903,415-491-1314,-122.544094,38.002534,California,Cinemark,2024-03-31
Cinemark Tracy 14,3300 N Naglee Rd,Tracy,CA,95376,209-833-8897,-121.462254,37.759955,California,Cinemark,2024-03-31
Cinemark Century Union Landing 25 and XD,32100 Union Landing,Union City,CA,94587,510-487-9347,-122.065764,37.600117,California,Cinemark,2024-03-31
Cinemark Century Vallejo 14,109 Plaza Dr,Vallejo,CA,94591,707-553-1205,-122.217924,38.134588,California,Cinemark,2024-03-31
Cinemark Century Ventura Downtown 10,555 E Main St,Ventura,CA,93001,805-641-6555,-119.292263,34.28096,California,Cinemark,2024-03-31
Cinemark Victorville 16 and XD,14470 Bear Valley Rd,Victorville,CA,92392,760-243-2037,-117.349748,34.470476,California,Cinemark,2024-03-31
Cinemark Century Walnut Creek 14 and XD,1201 Locust St,Walnut Creek,CA,94596,925-937-7031,-122.06154,37.896268,California,Cinemark,2024-03-31
Cinemark Yuba City,1410 Whyler Rd,Yuba City,CA,95993,530-751-2850,-121.636376,39.130870,California,Cinemark,2024-03-31
Cinemark Century Aurora and XD,14300 East Alameda Ave,Aurora,CO,80012,303-363-0300,-104.821337,39.710895,Colorado,Cinemark,2024-03-31
Cinemark Century Boulder,1700 29th St,Boulder,CO,80301,303-444-0583,-105.256123,40.016802,Colorado,Cinemark,2024-03-31
Cinemark Tinseltown Colorado Springs and XD,1545 E Cheyenne Mountain Blvd,Colorado Springs,CO,80906,719-576-5082,-104.798885,38.790682,Colorado,Cinemark,2024-03-31
Cinemark Carefree Circle XD and IMAX,3305 Cinema Point,Colorado Springs,CO,80922,719-596-2173,-104.716739,38.880916,Colorado,Cinemark,2024-03-31
Cinemark Fort Collins,4721 South Timberline Rd,Fort Collins,CO,80528,970-377-0782,-105.039339,40.521547,Colorado,Cinemark,2024-03-31
Cinemark Bistro Fort Collins and XD,335 E Foothills Parkway,Fort Collins,CO,80525,970-207-4009,-105.0742255,40.5442772,Colorado,Cinemark,2024-03-31
Cinemark Greeley Mall,2160 Greeley Mall,Greeley,CO,80631,970-353-4361,-104.711894,40.388514,Colorado,Cinemark,2024-03-31
Cinemark Century Bel Mar 16 and XD,440 S Teller St,Lakewood,CO,80226,303-935-3238,-105.07677,39.708433,Colorado,Cinemark,2024-03-31
Cinemark Tinseltown Pueblo,4140 N Freeway,Pueblo,CO,81008,719-562-9053,-104.614325,38.311801,Colorado,Cinemark,2024-03-31
Cinemark Buckland Hills 18 XD and IMAX,99 Redstone Rd,Manchester,CT,06042,860-646-4555,-72.547724,41.801035,Connecticut,Cinemark,2024-03-31
Cinemark Connecticut Post 14 and IMAX,1201 Boston Post Rd,Milford,CT,06460,203-878-8037,-73.03579,41.236051,Connecticut,Cinemark,2024-03-31
Cinemark North Haven and XD,550 Universal Dr,North Haven,CT,06473,203-234-8100,-72.8736075,41.3590354,Connecticut,Cinemark,2024-03-31
Cinemark Christiana and XD,1200 Christiana Mall,Newark,DE,19702,302-737-2602,-75.653239,39.682726,Delaware,Cinemark,2024-03-31
Cinemark Wilmington Movies 10,1796 W Newport Pike,Wilmington,DE,19804,302-994 7075,-75.630595,39.715829,Delaware,Cinemark,2024-03-31
Cinemark Bistro Boca Raton and XD,3200 Airport Rd,Boca Raton,FL,33431,561-395-4695,-80.113217,26.376463,Florida,Cinemark,2024-03-31
Cinemark Boynton Beach 14 and XD,1151 N Congress Ave,Boynton Beach,FL,33426,561-752-9797,-80.090815,26.537513,Florida,Cinemark,2024-03-31
Cinemark Paradise 24 and XD,15601 Sheridan St,Davie,FL,33331,954-680-3495,-80.356064,26.032251,Florida,Cinemark,2024-03-31
Cinemark Tinseltown Jacksonville and XD,4535 Southside Blvd,Jacksonville,FL,32216,904-998-2122,-81.558812,30.267735,Florida,Cinemark,2024-03-31
Cinemark Jacksonville Atlantic North and XD,11567 Atlantic Blvd,Jacksonville,FL,32225,904-915-2091,-81.49670343084176,30.324297566334394,Florida,Cinemark,2024-03-31
Cinemark Lakeland Square Mall and XD,3800 US Highway 98 N,Lakeland,FL,33809,863-859-3140,-81.978279,28.091024,Florida,Cinemark,2024-03-31
Cinemark Orlando and XD,5150 International Dr,Orlando,FL,32819,407-352-1042,-81.450505,28.470330,Florida,Cinemark,2024-03-31
Universal Cinemark at CityWalk and XD,6000 Universal Blvd ,Orlando,FL,32819,407-354-3374,-81.4698973,28.4735695,Florida,Cinemark,2024-03-31
Cinemark Durbin Park and XD,435 Durbin Pavilion Dr,St. Johns,FL,32259,904-230-4622,-81.521011,30.098343,Florida,Cinemark,2024-03-31
Cinemark Tinseltown Fayetteville 17 and XD,134 Pavilion Parkway,Fayetteville,GA,30214,770-460-7226,-84.440831,33.480056,Georgia,Cinemark,2024-03-31
Cinemark Altoona and XD,2227 Adventureland Dr NW,Altoona,IA,50009,515-967-2236,-93.4913557,41.660299,Iowa,Cinemark,2024-03-31
Cinemark Ames Movies 12,1317 Buckeye Ave,Ames,IA,50010,515-232-5066,-93.611528,42.010162,Iowa,Cinemark,2024-03-31
Cinemark Davenport 18 XD and IMAX,3601 East 53rd St,Davenport,IA,52807,563-441-0242,-90.518407,41.572957,Iowa,Cinemark,2024-03-31
Cinemark Century Jordan Creek 20 and XD,101 Jordan Creek Parkway,West Des Moines,IA,50266,515-267-8981,-93.809016,41.568902,Iowa,Cinemark,2024-03-31
Cinemark Majestic Cinemas,2140 E Cinema Dr,Meridian,ID,83642,(208) 893-5028,-116.368955,43.592378,Idaho,Cinemark,2024-03-31
Cinemark Bourbonnais Movies 10,1600 N State Route 50,Bourbonnais,IL,60914,815-933-5983,-87.851223,41.173612,Illinois,Cinemark,2024-03-31
Cinemark Century Deer Park 16,21600 W Field Parkway,Deer Park,IL,60010,847-438-8518,-88.054793,42.157466,Illinois,Cinemark,2024-03-31
Cinemark Louis Joliet Mall,3340 Mall Loop Dr,Joliet,IL,60431,815-267-8832,-88.16421,41.578182,Illinois,Cinemark,2024-03-31
Cinemark Melrose Park and XD,1001 West North Ave,Melrose Park,IL,60160,708-338-2294,-87.846169,41.908243,Illinois,Cinemark,2024-03-31
Cinemark Tinseltown USA Aurora,320 S Lincolnway St,North Aurora,IL,60542,630-906-0496,-88.322911,41.792477,Illinois,Cinemark,2024-03-31
Cinemark Cantera Warrenville and XD,28250 Diehl Rd. ,Warrenville,IL,60555,630-836-8265,-88.1736367,41.8050466,Illinois,Cinemark,2024-03-31
Cinemark Spring Hill Mall and XD,2000 Spring Hill Mall,West Dundee,IL,60118,847-844-1089,-88.298475,42.100816,Illinois,Cinemark,2024-03-31
Cinemark Seven Bridges and IMAX,6500 Route 53,Woodridge,IL,60517,630-663-8892,-88.067823,41.766448,Illinois,Cinemark,2024-03-31
Cinemark Greenwood Corner,1848 E Stop 13 Rd,Indianapolis,IN,46227,317-882-2685,-86.128614,39.638348,Indiana,Cinemark,2024-03-31
Cinemark South Bend Movies 14,910 W Edison Rd,Mishawaka,IN,46545,574-254-9689,-86.193651,41.694759,Indiana,Cinemark,2024-03-31
Cinemark Valparaiso,700 Porter's Vale Blvd,Valparaiso,IN,46383,219-464-0260,-87.01588,41.473464,Indiana,Cinemark,2024-03-31
Cinemark Merriam and XD,5500 Antioch,Merriam,KS,66202,913-789-7038,-94.686470,39.029502,Kansas,Cinemark,2024-03-31
Cinemark Ashland,400 Winchester Ave,Ashland,KY,41101,606-324-3128,-82.655336,38.486477,Kentucky,Cinemark,2024-03-31
Cinemark Florence 14 and XD,7860 Mall Rd,Florence,KY,41042,859-282-6619,-84.647303,38.993766,Kentucky,Cinemark,2024-03-31
Cinemark Fayette Mall and XD,3800 Mall Rd,Lexington,KY,40503,859-971-0718,-84.527913,37.981601,Kentucky,Cinemark,2024-03-31
Cinemark Tinseltown Louisville and XD,4400 Towne Center Dr,Louisville,KY,40241,502-326-9272,-85.557555,38.300016,Kentucky,Cinemark,2024-03-31
Cinemark Mall St. Matthews and XD,5000 Shelbyville Rd,Louisville,KY,40207,502-259-9649,-85.62507,38.24905,Kentucky,Cinemark,2024-03-31
Cinemark Preston Crossings 16 and XD,9700 Preston Crossing Blvd,Louisville,KY,40229,502-961-9700,-85.671585,38.108222,Kentucky,Cinemark,2024-03-31
Cinemark Paducah,5159 Hinkleville Rd,Paducah,KY,42001,270-444-9588,-88.694935,37.074258,Kentucky,Cinemark,2024-03-31
Cinemark At Richmond Centre,2103 Lantern Ridge Dr,Richmond,KY,40475,859-626-7577,-84.328247,37.737434,Kentucky,Cinemark,2024-03-31
Cinemark Perkins Rowe and XD,10000 Perkins Rowe,Baton Rouge,LA,70810,225-761-7845,-91.095358,30.379584,Louisiana,Cinemark,2024-03-31
Cinemark Lake Charles and XD,548 W Prien Lake Rd,Lake Charles,LA,70601,337-562-0053,-93.226869,30.198201,Louisiana,Cinemark,2024-03-31
Cinemark Bistro Lake Charles,3416 Derek Dr,Lake Charles,LA,70607,337-477-3913,-93.1768217,30.1942479,Louisiana,Cinemark,2024-03-31
Cinemark Shreveport South Tinseltown and XD,8400 Millicent Way,Shreveport,LA,71105,318-798-6488,-93.714525,32.425641,Louisiana,Cinemark,2024-03-31
Cinemark Tinseltown West Monroe 17,220 Blanchard St,West Monroe,LA,71291,318-398-0882,-92.162518,32.509582,Louisiana,Cinemark,2024-03-31
Cinemark At Hampshire Mall and XD,367 Russell St,Hadley,MA,01035,413-587-4237,-72.550438,42.357777,Massachusetts,Cinemark,2024-03-31
Cinemark West Springfield 15 and XD,864 Riverdale Rd,West Springfield,MA,01089,413-733-5134,-72.626925,42.128092,Massachusetts,Cinemark,2024-03-31
Cinemark Columbia Snowden and ScreenX,9161 Commerce Center Dr. ,Columbia,MD,21046,410-872-0676,-76.8221417,39.1776909,Maryland,Cinemark,2024-03-31
Cinemark Egyptian 24 and XD,7000 Arundel Mills Circle,Hanover,MD,21076,443-755-8990,-76.725453,39.162255,Maryland,Cinemark,2024-03-31
Cinemark Towson and XD,111 East Joppa Rd,Towson,MD,21286,410-828-1262,-76.600517,39.401958,Maryland,Cinemark,2024-03-31
Cinemark Flint West 14,1591 South Graham Rd,Flint,MI,48532,810-732-6668,-83.751247,43.004184,Michigan,Cinemark,2024-03-31
Cinemark Southland Center and XD,23000 Eureka Rd,Taylor,MI,48180,734-287-0629,-83.2569017,42.200604,Michigan,Cinemark,2024-03-31
Cinemark Ann Arbor 20 and IMAX,4100 Carpenter Rd,Ypsilanti,MI,48197,734-973-8424,-83.681075,42.227451,Michigan,Cinemark,2024-03-31
Cinemark River Hills Mall Movies 8,1850 Adams St,Mankato,MN,56001,507-625-1929,-93.952142,44.170508,Minnesota,Cinemark,2024-03-31
Cinemark Gulfport 16,15171 Crossroads Pkwy,Gulfport,MS,39503,228-539-5294,-89.091396,30.436136,Mississippi,Cinemark,2024-03-31
Cinemark Pearl and XD,411 Riverwind Dr,Pearl,MS,39208,601-936-5856,-90.145625,32.267637,Mississippi,Cinemark,2024-03-31
Cinemark Tupelo Movies 8,1001 Barnes Crossing Rd,Tupelo,MS,38804,662-844-8256,-88.67842,34.31756,Mississippi,Cinemark,2024-03-31
Cinemark Helena and XD,750 Great Northern Blvd,Helena,MT,59601,406-442-4225,-112.037727,46.595644,Montana,Cinemark,2024-03-31
Cinemark Signature Stadium Kalispell 14,185 Hutton Ranch Rd,Kalispell,MT,59901,406-752-7804,-114.326788,48.233506,Montana,Cinemark,2024-03-31
Cinemark Asheboro,400 Randolph Mall,Asheboro,NC,27203,336-626-3450,-79.788436,35.70095,North Carolina,Cinemark,2024-03-31
Cinemark Bistro at The Carolina Asheville,1640 Hendersonville Rd,Asheville,NC,28803,828-274-8811,-82.524830,35.511577,North Carolina,Cinemark,2024-03-31
Cinemark Bistro Charlotte,9630 Monroe Rd,Charlotte,NC,28270,704-847-2031,-80.7435555,35.1402487,North Carolina,Cinemark,2024-03-31
Cinemark Bistro Raleigh,4840 Grove Barton Rd,Raleigh,NC,27613,919-788-9000,-78.7184804,35.8721214,North Carolina,Cinemark,2024-03-31
Cinemark Tinseltown Salisbury,305 Faith Rd,Salisbury,NC,28146,704-639-1342,-80.458081,35.652238,North Carolina,Cinemark,2024-03-31
Cinemark Rockingham Park and XD,15 Mall Rd,Salem,NH,03079,603-890-7111,-71.230399,42.770966,New Hampshire,Cinemark,2024-03-31
Cinemark Hazlet 12,2821 Highway 35,Hazlet,NJ,07730,732-888-1352,-74.169731,40.41961,New Jersey,Cinemark,2024-03-31
Cinemark Somerdale 16 and XD,711 Evesham Rd,Somerdale,NJ,08083,856-784-3429,-75.017278,39.858997,New Jersey,Cinemark,2024-03-31
Cinemark Watchung and XD ,1670 US Route 22 East,Watchung,NJ,07069,908-561-5970 ,-74.408106,40.647325,New Jersey,Cinemark,2024-03-31
Cinemark Willowbrook Mall and XD,360 Willowbrook Mall,Wayne,NJ,07470,973-890-8644,-74.260523,40.889992,New Jersey,Cinemark,2024-03-31
Cinemark Century Rio Plex 24 and XD,4901 Pan American Fwy NE,Albuquerque,NM,87109,505-343-9000,-106.601246,35.138486,New Mexico,Cinemark,2024-03-31
Cinemark Cinedome Henderson 12,851 S Boulder Hwy,Henderson,NV,89015,702-566-1570,-114.965692,36.024691,Nevada,Cinemark,2024-03-31
Cinemark Century Orleans 18 and XD,4500 West Tropicana Blvd,Las Vegas,NV,89103,702-889-1220,-115.203217,36.101057,Nevada,Cinemark,2024-03-31
Cinemark Century Suncoast 16 and XD,9090 Alta Dr,Las Vegas,NV,89144,702-869-1880,-115.293548,36.167725,Nevada,Cinemark,2024-03-31
Cinemark Century Sam's Town 18,5111 Boulder Hwy,Las Vegas,NV,89122,702-547-1732,-115.063879,36.112671,Nevada,Cinemark,2024-03-31
Cinemark Century Santa Fe Station 16 and XD,4949 N Rancho Dr,Las Vegas,NV,89130,702-655-8178,-115.23776,36.250586,Nevada,Cinemark,2024-03-31
Cinemark Century South Point 16 and XD,9777 Las Vegas Blvd South,Las Vegas,NV,89183,702-260-4061,-115.172559,36.012294,Nevada,Cinemark,2024-03-31
