storeNo,name,street,city,state,zip,date_opened,latitude,longitude,state_name
0770,Giant,1245 Jefferson Davis Hwy.,Fredericksburg,VA,22401,2006-10-01,38.3038,-77.4808,Virginia
2330,Giant,1649 Crofton Center,Crofton,MD,21114,2023-01-01,39.0157,-76.6938,Maryland
0775,Giant,13330 Franklin Farm Rd.,Herndon,VA,20171,2006-10-01,38.9074,-77.4069,Virginia
0155,Giant,7200 Cradlerock Way,Columbia,MD,21045,2006-10-01,39.1862,-76.8415,Maryland
0143,Giant,4715 Dorsey Hall Dr.,Ellicott City,MD,21043,2006-10-01,39.2445,-76.8429,Maryland
0756,Giant,8320 Old Keene Mill Rd.,Springfield,VA,22152,2006-10-01,38.78,-77.2301,Virginia
0744,Giant,5740 Union Mill Rd.,Clifton,VA,20124,2006-10-01,38.8366,-77.4119,Virginia
0198,Giant,9812 Falls Road,Potomac,MD,20854,2008-06-27,39.017,-77.2105,Maryland
0362,Giant,20944 Frederick Road,Germantown,MD,20876,2006-10-01,39.2034,-77.2461,Maryland
2744,Giant,9400 Fairfax Boulevard,Fairfax,VA,22031,2020-07-21,38.8651,-77.2709,Virginia
0361,Giant,5700 Southeast Crain Hwy,Upper Marlboro,MD,20772,2006-10-01,38.8113,-76.7373,Maryland
0749,Giant,7137 Columbia Pike,Annandale,VA,22003,2006-10-01,38.8319,-77.1924,Virginia
0342,Giant,4119 Branch Ave.,Marlow Heights,MD,20748,2006-10-01,38.834,-76.9425,Maryland
0252,Giant,1000 East Main Street,Purcellville,VA,20132,2006-10-01,39.1357,-77.6988,Virginia
0799,Giant,61 Catoctin Circle N.E.,Leesburg,VA,20176,2006-10-01,39.1114,-77.5525,Virginia
0150,Giant,46 Bureau Dr.,Gaithersburg,MD,20878,2006-10-01,39.1432,-77.2171,Maryland
2311,Giant,1155 Annapolis Road,Odenton,MD,21113,2015-12-11,39.0815,-76.6894,Maryland
0795,Giant,7501 Huntsman Blvd.,Springfield,VA,22153,2006-10-01,38.7529,-77.2661,Virginia
0798,Giant,8941 Ox Rd.,Lorton,VA,22079,2006-10-01,38.7143,-77.2637,Virginia
0145,Giant,5150 Sinclair Lane,Baltimore,MD,21206,2006-10-01,39.3229,-76.544,Maryland
0303,Giant,601 East 33rd St.,Baltimore,MD,21218,2006-10-01,39.3284,-76.6084,Maryland
0141,Giant,7940 Crain Hwy.,Glen Burnie,MD,21061,2006-10-01,39.1337,-76.6364,Maryland
0378,Giant,"1345 Park Road, N.W.",Washington,DC,20010,2006-10-01,38.9308,-77.0312,
0334,Giant,3521 East-West Highway,Hyattsville,MD,20782,2006-10-01,38.9656,-76.9585,Maryland
0754,Giant,4309 Dale Blvd.,Dale City,VA,22193,2006-10-01,38.6468,-77.3384,Virginia
2748,Giant,6360 Seven Corners Center,Falls Church,VA,22044,2020-03-06,38.8649,-77.1516,Virginia
0117,Giant,6223 Baltimore National Pike,Catonsville,MD,21228,2006-10-01,39.2823,-76.7519,Maryland
0335,Giant,1700 Kingfisher Dr.,Frederick,MD,21701,2011-03-30,39.4487,-77.3831,Maryland
0366,Giant,8750 Arliss St.,Silver Spring,MD,20901,2006-10-01,39.0003,-77.0016,Maryland
2746,Giant,2425 Centreville Road,Herndon,VA,20171,2018-11-09,38.9513,-77.4105,Virginia
0387,Giant,19312 Lighthouse Plaza Blvd,Rehoboth Beach,DE,19971,2006-10-01,38.7262,-75.1045,Delaware
2318,Giant,10210 Mill Run Circle,Owings Mills,MD,21117,2019-08-23,39.4057,-76.7907,Maryland
0363,Giant,1400 Merritt Boulevard,Dundalk,MD,21222,2010-10-13,39.2779,-76.5063,Maryland
0329,Giant,9719 Traville Gateway Drive,Rockville,MD,20850,2006-10-01,39.0916,-77.2041,Maryland
0375,Giant,1050 Brentwood Road,Washington,DC,20018,2006-10-01,38.9195,-76.992,
0788,Giant,14125 St. Germain Dr.,Centreville,VA,20121,2006-10-01,38.837,-77.4374,Virginia
0386,Giant,4301 Concord Pike,Wilmington,DE,19803,2006-10-01,39.814,-75.5475,Delaware
0341,Giant,20 Audrey Lane,Oxon Hill,MD,20745,2006-10-01,38.8205,-76.9989,Maryland
0239,Giant,10864 Sudley Manor Drive,Manassas,VA,20109,2021-11-18,38.785,-77.5178,Virginia
0256,Giant,10346 Courthouse Road,Spotsylvania,VA,22553,2006-10-01,38.2438,-77.5297,Virginia
0135,Giant,3860 International Dr.,Silver Spring,MD,20906,2006-10-01,39.1035,-77.0754,Maryland
0336,Giant,2900 University Boulevard West,Wheaton,MD,20902,2006-10-01,39.0382,-77.0585,Maryland
2376,Giant,1400 7th Street N.W.,Washington,DC,20001,2013-11-21,38.9088,-77.023,
0364,Giant,1401 Rock Spring Road,Bel Air,MD,21014,2006-10-01,39.5568,-76.3691,Maryland
0325,Giant,10790 Town Center Blvd,Dunkirk,MD,20754,2006-10-01,38.7228,-76.6559,Maryland
0167,Giant,948 Bay Ridge Rd.,Annapolis,MD,21403,2006-10-01,38.9483,-76.489,Maryland
0794,Giant,20961 Southbank Street,Sterling,VA,20165,2006-10-01,39.0354,-77.3978,Virginia
0233,Giant,7235 Arlington Blvd.,Falls Church,VA,22042,2008-03-14,38.866,-77.1956,Virginia
0339,Giant,200 Rosewick Road,LaPlata,MD,20646,2008-10-31,38.5585,-76.9846,Maryland
0250,Giant,635 Potomac Station Dr.,Leesburg,VA,20176,2006-10-01,39.0984,-77.5263,Virginia
0232,Giant,5870 Kingstowne Blvd.,Alexandria,VA,22315,2006-10-01,38.7709,-77.1367,Virginia
0319,Giant,625 Hungerford Drive,Rockville,MD,20850,2006-10-01,39.0928,-77.1537,Maryland
0301,Giant,13781 Connecticut Avenue,Silver Spring,MD,20906,2007-11-09,39.0817,-77.0797,Maryland
0243,Giant,317 Worth Avenue,Stafford,VA,22554,2006-10-01,38.4768,-77.4168,Virginia
0748,Giant,2901-11 S. Glebe Rd.,Arlington,VA,22206,2006-10-01,38.8457,-77.0687,Virginia
0778,Giant,41 West Lee Hwy.,Warrenton,VA,20186,2006-10-01,38.7303,-77.7918,Virginia
0131,Giant,8665 Philadelphia Rd.,Baltimore,MD,21237,2006-10-01,39.3393,-76.4868,Maryland
0771,Giant,3115 Lee Hwy.,Arlington,VA,22201,2006-10-01,38.8968,-77.0959,Virginia
0261,Giant,3131 Duke Street,Alexandria,VA,22314,2009-05-22,38.8088,-77.0842,Virginia
0166,Giant,4622 Wilkens Ave.,Baltimore,MD,21229,2006-10-01,39.2652,-76.6977,Maryland
0365,Giant,3299 Emmorton Road,Abingdon,MD,21009,2010-06-28,39.4732,-76.308,Maryland
2332,Giant,12028 Cherry Hill Road,Silver Spring,MD,20904,2022-08-05,39.055,-76.957,Maryland
0123,Giant,7074 Allentown Rd.,Camp Springs,MD,20748,2006-10-01,38.7935,-76.9274,Maryland
2304,Giant,8905 Belair Rd,Nottingham,MD,21236,2012-08-24,39.3977,-76.4815,Maryland
0359,Giant,45101 First Colony Way,California,MD,20619,2006-10-01,38.2993,-76.5145,Maryland
0760,Giant,6800 Richmond Hwy.,Alexandria,VA,22306,2006-10-01,38.7697,-77.082,Virginia
0109,Giant,405 N. Center St.,Westminster,MD,21157,2012-06-27,39.5752,-76.9833,Maryland
0304,Giant,3297 Crain Highway,Waldorf,MD,20603,2006-10-01,38.6216,-76.9158,Maryland
0384,Giant,1535 Alabama Avenue S.E.,Washington,DC,20032,2007-12-07,38.8463,-76.9823,
0383,Giant,4303 Conn. Ave. N.W.,Washington,DC,20008,2006-10-01,38.9444,-77.0633,
0373,Giant,5500 Silver Hill Road,District Heights,MD,20747,2009-03-13,38.853,-76.9127,Maryland
0108,Giant,6340-50 York Rd.,Baltimore,MD,21212,2006-10-01,39.372,-76.6097,Maryland
0100,Giant,11399 York Rd.,Cockeysville,MD,21030,2006-10-01,39.4958,-76.6504,Maryland
0740,Giant,5615 Stone Rd.,Centreville,VA,20120,2006-10-01,38.8534,-77.451,Virginia
2745,Giant,6364A Springfield Plaza,Springfield,VA,22150,2020-11-11,38.7819,-77.1883,Virginia
0781,Giant,12445 Hedges Run Dr.,Lake Ridge,VA,22192,2006-10-01,38.6833,-77.3027,Virginia
0313,Giant,18331 Leaman Farm Road,Germantown,MD,20874,2006-10-01,39.1587,-77.2792,Maryland
2305,Super Giant,7709 Harford Rd.,Parkville,MD,21234,2012-03-30,39.3725,-76.5438,Maryland
0234,Giant,550 Celebrate Virginia Parkway,Celebrate,VA,22406,2009-06-19,38.3596,-77.5213,Virginia
0192,Giant,18250 Flower Hill Way,Gaithersburg,MD,20879,2006-10-01,39.1555,-77.1647,Maryland
0262,Giant,43330 Junction Plaza,Ashburn,VA,20147,2006-10-01,39.0369,-77.5012,Virginia
0147,Giant,9580 Livingston Road,Fort Washington,MD,20744,2021-11-12,38.759,-76.9955,Maryland
0388,Giant,200 Dove Run Drive,Middletown,DE,19709,2006-10-01,39.4501,-75.7084,Delaware
0128,Giant,2145 York Road,Timonium,MD,21093,2009-06-12,39.4433,-76.6275,Maryland
0152,Giant,13490 New Hampshire Ave.,Colesville,MD,20904,2011-09-13,39.0773,-77.0018,Maryland
0349,Giant,3530 Sugarloaf Parkway,Frederick,MD,21704,2007-03-02,39.3349,-77.3435,Maryland
0231,Giant,2932 Chain Bridge Road,Oakton,VA,22124,2008-06-01,38.8816,-77.2997,Virginia
0194,Giant,2323 Forest Drive,Annapolis,MD,21401,2006-10-01,38.9806,-76.5434,Maryland
0300,Giant,8805 Centre Park Drive,Columbia,MD,21045,2006-10-01,39.2269,-76.8165,Maryland
0783,Giant,6011 Burke Ctr Parkway,Burke,VA,22015,2006-10-01,38.7863,-77.2977,Virginia
0346,Giant,5316 New Design Road,Frederick,MD,21701,2006-10-01,39.3792,-77.4212,Maryland
0337,Giant,6620 Reisterstown Road,Baltimore,MD,21215,2006-10-01,39.3583,-76.7052,Maryland
0763,Giant,359 Maple Avenue East,Vienna,VA,22180,2006-10-01,38.9062,-77.2594,Virginia
0780,Giant,3480 S. Jefferson St.,Falls Church,VA,22041,2006-10-01,38.8498,-77.1178,Virginia
0741,Giant,5469 Mapledale Plaza,Dale City,VA,22193,2006-10-01,38.6617,-77.3668,Virginia
0144,Giant,7920-30 Belair Road,Baltimore,MD,21236,2006-10-01,39.3732,-76.5099,Maryland
0790,Giant,5581 Merchants View Square,Haymarket,VA,20169,2006-10-01,38.8438,-77.6408,Virginia
2381,Giant,300 H Street NE,Washington,DC,20002,2013-05-03,38.9003,-77.0019,
2742,Giant,621 East Glebe Road,Alexandria,VA,22305,2015-09-04,38.8324,-77.0517,Virginia
0326,Giant,10501 Greenbelt Rd.,Lanham,MD,20706,2006-10-01,38.9899,-76.8236,Maryland
0140,Giant,5815 Eastern Avenue,Hyattsville,MD,20782,2006-10-01,38.9597,-76.9948,Maryland
0146,Giant,655 Solomon's Island Rd. North,Prince Frederick,MD,20678,2006-10-01,38.5442,-76.5888,Maryland
0251,Giant,1900 Abbey Road,Charlottesville,VA,22911,2006-10-01,38.0297,-78.444,Virginia
0161,Giant,16837 Crabbs Branch Way,Derwood,MD,20855,2006-10-01,39.1307,-77.1686,Maryland
2741,Giant,10653 Braddock Road,Fairfax,VA,22032,2017-02-09,38.8276,-77.3164,Virginia
2351,Giant,25939 John J. Williams Hwy,Long Neck,DE,19966,2009-08-06,38.6064,-75.2117,Delaware
0347,Giant,10480 Campus Way South,Largo,MD,20774,2006-10-01,38.8936,-76.8233,Maryland
0322,Giant,11604 Reisterstown Road,Reisterstown,MD,21136,2011-03-23,39.4432,-76.8095,Maryland
0159,Giant,3757 Old Court Rd.,Pikesville,MD,21208,2006-10-01,39.3787,-76.7251,Maryland
0324,Giant,4315 Mountain Rd.,Pasadena,MD,21122,2008-02-06,39.1202,-76.512,Maryland
0237,Giant,25050 Riding Plaza Suite 100,Chantilly,VA,20152,2006-10-01,38.9247,-77.5206,Virginia
0745,Giant,13043 Lee Jackson Mem. Hwy,Fairfax,VA,22033,2006-10-01,38.8808,-77.3976,Virginia
0197,Giant,7944 Honeygo Blvd.,Baltimore,MD,21236,2006-10-01,39.373,-76.472,Maryland
2313,Giant,5320 Zenith Overlook,Bethesda,MD,20816,2006-10-01,38.9577,-77.1147,Maryland
0762,Giant,21800 Town Center Plaza - #226,Sterling,VA,20164,2006-10-01,39.0145,-77.3721,Virginia
2306,Super Giant,1020 W 41st Street,Baltimore,MD,21211,2012-03-30,39.3383,-76.6353,Maryland
0320,Giant,229 Kentlands Blvd.,Gaithersburg,MD,20878,2006-10-01,39.1233,-77.2366,Maryland
0353,Giant,8100 Loch Raven Blvd.,Towson,MD,21286,2006-10-01,39.3886,-76.5719,Maryland
0330,Giant,3500 N.W. Crain Hwy,Bowie,MD,20716,2006-10-01,38.9339,-76.7178,Maryland
0169,Giant,13060 Middlebrook Rd.,Germantown,MD,20874,2006-10-01,39.1835,-77.272,Maryland
0257,Giant,7575 Linton Hall Road,Gainesville,VA,20155,2006-10-01,38.7929,-77.6098,Virginia
0747,Giant,1450 North Point Village Ctr.,Reston,VA,20194,2006-10-01,38.9791,-77.3499,Virginia
0338,Giant,7025 Berry Road,Accokeek,MD,20607,2006-10-01,38.6804,-76.9773,Maryland
0348,Giant,6050 Daybreak Circle,Clarksville,MD,21029,2006-10-01,39.2105,-76.9375,Maryland
2312,Giant,6636 N Ritchie Highway,Glen Burnie,MD,21061,2017-10-25,39.1972,-76.616,Maryland
2317,Giant,18140 Village Mart Drive,Olney,MD,20832,2019-04-12,39.1532,-77.0648,Maryland
0229,Giant,8074 Rolling Road,Springfield,VA,22153,2008-05-18,38.7394,-77.2114,Virginia
0111,Giant,6480 Freetown Rd.,Columbia,MD,21044,2006-10-01,39.1953,-76.8813,Maryland
0344,Giant,6020 Marshalee Drive,Elkridge,MD,21075,2006-10-01,39.2098,-76.778,Maryland
0753,Giant,2551 John Milton Dr.,Herndon,VA,20171,2006-10-01,38.9279,-77.3764,Virginia
0350,Giant,11221 New Hampshire Ave.,Silver Spring,MD,20904,2006-10-01,39.0409,-76.9906,Maryland
0196,Giant,20044 Goshen Rd.,Gaithersburg,MD,20879,2006-10-01,39.1737,-77.1894,Maryland
0789,Giant,35 Town and Country Rd.,Falmouth,VA,22405,2009-06-12,38.3093,-77.4272,Virginia
0343,Giant,11740 Rousby Hall Road,Lusby,MD,20657,2009-02-20,38.3732,-76.4428,Maryland
2333,Giant,857 East Fort Avenue,Baltimore,MD,21230,2022-11-11,39.2705,-76.6038,Maryland
0310,Giant,15520 Annapolis Road,Bowie,MD,20715,2006-10-01,38.9798,-76.734,Maryland
2743,Giant,8970 Burke Lake Road,Springfield,VA,22151,2015-06-19,38.8098,-77.254,Virginia
0368,Giant,842 Muddy Branch Rd.,Gaithersburg,MD,20878,2006-10-01,39.1132,-77.2162,Maryland
0317,Giant,4624 Edmondson Avenue,Baltimore,MD,21229,2006-10-01,39.2936,-76.6953,Maryland
0385,Giant,300 Eden Square SC.,Bear,DE,19701,2006-10-01,39.6341,-75.6555,Delaware
0765,Giant,1230 W. Broad St.,Falls Church,VA,22046,2006-10-01,38.8948,-77.1891,Virginia
0758,Giant,1454 Chain Bridge Rd.,McLean,VA,22101,2006-10-01,38.9323,-77.1795,Virginia
0797,Giant,44110 Ashburn Shopping Plz,Ashburn,VA,20147,2006-10-01,39.0436,-77.4744,Virginia
2747,Giant,6200 Little River Turnpike,Alexandria,VA,22312,2018-11-16,38.8208,-77.155,Virginia
0354,Giant,1280 East West Hwy.,Silver Spring,MD,20910,2006-10-01,38.9914,-77.0303,Maryland
0315,Giant,7546 Annapolis Rd.,Lanham,MD,20784,2006-10-01,38.9508,-76.8861,Maryland
0106,Giant,7919 Tuckerman La.,Potomac,MD,20854,2006-10-01,39.0409,-77.1598,Maryland
0340,Giant,1009 Fairlawn St.,Laurel,MD,20707,2006-10-01,39.0968,-76.8554,Maryland
0774,Penrose Sq. Giant,2501 9th Road South,Arlington,VA,22204,2011-06-24,38.8641,-77.0845,Virginia
0743,Giant,3450 Washington Blvd.,Arlington,VA,22201,2006-10-01,38.8856,-77.1031,Virginia
0235,Giant,5701 Plank Road,Fredericksburg,VA,22407,2009-07-16,38.2916,-77.568,Virginia
0249,Giant,6980 Braddock Road,Annandale,VA,22003,2006-10-01,38.8119,-77.1862,Virginia
0358,Giant,573 Gov. Ritchie Hwy.,Severna Park,MD,21146,2006-10-01,39.076,-76.5443,Maryland
0327,Giant,7142 Arlington Road,Bethesda,MD,20814,2006-10-01,38.9814,-77.0985,Maryland
0791,Giant,43670 Greenway Corp. Drive,Ashburn,VA,20147,2006-10-01,39.0087,-77.4914,Virginia
0132,Giant,10400 Old Georgetown Rd.,Bethesda,MD,20814,2006-10-01,39.0287,-77.1266,Maryland
0308,Super Giant,13 Lee Airpark Drive,Edgewater,MD,21037,2010-11-11,38.9446,-76.5619,Maryland
2301,Super Giant,15618 Columbia Pike,Burtonsville,MD,20866,2010-11-13,39.1148,-76.932,Maryland
0323,Giant,8223 Elliott Road,Easton,MD,21601,2006-10-01,38.7743,-76.0571,Maryland
0125,Giant,12051 Rockville Pike,Rockville,MD,20852,2006-10-01,39.0547,-77.1178,Maryland
0389,Giant,38069 Town Center Drive Unit 9,Millville,DE,19967,2006-10-01,38.5457,-75.1072,Delaware
2379,Giant,3336 Wisconsin Ave NW,Washington,DC,20016,2014-11-07,38.9343,-77.0736,
2310,Giant,9200 Baltimore National Pike,Ellicott City,MD,21043,2016-05-20,39.279,-76.8312,Maryland
0316,Giant,6000 Greenbelt Rd.,Greenbelt,MD,20770,2006-10-01,38.9981,-76.912,Maryland
0227,Giant,10100 Dumfries Road,Manassas,VA,20110,2006-10-01,38.7375,-77.4728,Virginia
